4	2.31752097356481e-05
5	0.000128015444254056
6	0.00200373599095358
7	0.00045835414810504
8	0.00116317481244634
9	0.00200667887472953
10	0.0100470052111114
11	0.0440520272422751
12	0.112913300436798
13	0.207857720398084
14	0.295590603666392
15	0.210303992536847
16	0.085231064198274
17	0.0224828963273546
18	0.00465122780789738
19	0.000837250434259287
20	0.000158180002957598
21	3.34753029514917e-05
22	1.03000932158436e-05
23	1.28751165198045e-05
24	1.14036746318268e-05
25	5.51790707991622e-06
26	5.51790707991622e-06
27	3.67860471994414e-06
28	3.67860471994414e-06
29	2.20716283196649e-06
30	1.47144188797766e-06
31	1.10358141598324e-06
32	3.67860471994414e-07
